Date,Platinum,Palladium,Rhodium,Iridium,Ruthenium
30/09/1994,419.0000,153.0000,770.0000,70.0000,18.0000
03/10/1994,416.0000,153.0000,770.0000,70.0000,18.0000
04/10/1994,419.0000,153.0000,770.0000,70.0000,18.0000
05/10/1994,418.0000,153.0000,770.0000,70.0000,18.0000
06/10/1994,420.0000,154.0000,760.0000,70.0000,18.0000
07/10/1994,421.0000,154.0000,760.0000,70.0000,18.0000
10/10/1994,419.0000,154.0000,760.0000,70.0000,20.0000
11/10/1994,416.0000,153.0000,750.0000,70.0000,20.0000
12/10/1994,417.0000,153.0000,750.0000,70.0000,20.0000
13/10/1994,417.0000,153.0000,720.0000,70.0000,20.0000
14/10/1994,415.0000,153.0000,720.0000,70.0000,20.0000
17/10/1994,418.0000,155.0000,720.0000,70.0000,20.0000
18/10/1994,419.0000,155.0000,720.0000,70.0000,20.0000
19/10/1994,417.0000,155.0000,710.0000,70.0000,20.0000
20/10/1994,421.0000,156.0000,710.0000,70.0000,20.0000
21/10/1994,426.0000,157.0000,710.0000,70.0000,20.0000
24/10/1994,421.0000,157.0000,710.0000,70.0000,20.0000
25/10/1994,423.0000,158.0000,710.0000,70.0000,20.0000
26/10/1994,422.0000,159.0000,700.0000,70.0000,20.0000
27/10/1994,425.0000,161.0000,700.0000,70.0000,20.0000
28/10/1994,424.0000,162.0000,700.0000,70.0000,22.0000
31/10/1994,422.0000,160.0000,700.0000,70.0000,22.0000
01/11/1994,415.0000,159.0000,700.0000,70.0000,22.0000
02/11/1994,418.0000,160.0000,700.0000,70.0000,22.0000
03/11/1994,418.0000,162.0000,700.0000,70.0000,22.0000
04/11/1994,417.0000,161.0000,700.0000,70.0000,22.0000
07/11/1994,416.0000,160.0000,700.0000,70.0000,22.0000
08/11/1994,410.0000,158.0000,700.0000,70.0000,24.0000
09/11/1994,411.0000,159.0000,700.0000,70.0000,27.0000
10/11/1994,409.0000,157.0000,700.0000,70.0000,27.0000
11/11/1994,411.0000,157.0000,700.0000,70.0000,27.0000
14/11/1994,412.0000,157.0000,700.0000,70.0000,27.0000
15/11/1994,416.0000,157.0000,700.0000,70.0000,27.0000
16/11/1994,414.0000,158.0000,700.0000,70.0000,27.0000
17/11/1994,416.0000,157.0000,700.0000,70.0000,27.0000
18/11/1994,415.0000,157.0000,690.0000,70.0000,27.0000
21/11/1994,413.0000,155.0000,690.0000,70.0000,27.0000
22/11/1994,411.0000,155.0000,680.0000,70.0000,27.0000
23/11/1994,412.0000,156.0000,680.0000,70.0000,27.0000
24/11/1994,413.0000,155.0000,670.0000,70.0000,27.0000
25/11/1994,412.0000,155.0000,670.0000,70.0000,27.0000
28/11/1994,411.0000,154.0000,670.0000,70.0000,27.0000
29/11/1994,411.0000,154.0000,660.0000,70.0000,27.0000
30/11/1994,410.0000,155.0000,660.0000,70.0000,27.0000
01/12/1994,405.0000,154.0000,660.0000,70.0000,27.0000
02/12/1994,403.0000,154.0000,650.0000,70.0000,27.0000
05/12/1994,401.0000,154.0000,650.0000,70.0000,27.0000
06/12/1994,401.0000,153.0000,665.0000,70.0000,27.0000
07/12/1994,404.0000,154.0000,665.0000,70.0000,27.0000
08/12/1994,404.0000,154.0000,665.0000,70.0000,27.0000
09/12/1994,404.0000,153.0000,655.0000,70.0000,27.0000
12/12/1994,407.0000,154.0000,655.0000,70.0000,27.0000
13/12/1994,411.0000,155.0000,655.0000,70.0000,27.0000
14/12/1994,410.0000,154.0000,645.0000,70.0000,27.0000
15/12/1994,409.0000,153.0000,645.0000,70.0000,27.0000
16/12/1994,412.0000,154.0000,620.0000,70.0000,27.0000
19/12/1994,413.0000,154.0000,610.0000,70.0000,27.0000
20/12/1994,416.0000,154.0000,610.0000,70.0000,27.0000
21/12/1994,418.0000,154.0000,610.0000,70.0000,27.0000
22/12/1994,417.0000,155.0000,610.0000,70.0000,27.0000
23/12/1994,415.0000,155.0000,610.0000,70.0000,27.0000
28/12/1994,417.0000,156.0000,625.0000,70.0000,27.0000
29/12/1994,419.0000,157.0000,625.0000,70.0000,27.0000
30/12/1994,418.0000,158.0000,625.0000,70.0000,27.0000
03/01/1995,418.0000,158.0000,625.0000,70.0000,27.0000
04/01/1995,411.0000,157.0000,625.0000,70.0000,27.0000
05/01/1995,403.0000,155.0000,625.0000,70.0000,27.0000
06/01/1995,408.0000,155.0000,625.0000,70.0000,27.0000
09/01/1995,405.0000,155.0000,625.0000,70.0000,27.0000
10/01/1995,408.0000,155.0000,625.0000,70.0000,27.0000
11/01/1995,410.0000,156.0000,625.0000,70.0000,27.0000
12/01/1995,413.0000,157.0000,625.0000,70.0000,27.0000
13/01/1995,419.0000,159.0000,625.0000,70.0000,27.0000
16/01/1995,413.0000,154.0000,625.0000,70.0000,27.0000
17/01/1995,414.0000,156.0000,625.0000,70.0000,27.0000
18/01/1995,418.0000,157.0000,610.0000,70.0000,27.0000
19/01/1995,417.0000,157.0000,610.0000,70.0000,27.0000
20/01/1995,418.0000,157.0000,610.0000,70.0000,27.0000
23/01/1995,420.0000,158.0000,610.0000,70.0000,27.0000
24/01/1995,416.0000,157.0000,610.0000,70.0000,27.0000
25/01/1995,418.0000,158.0000,610.0000,70.0000,27.0000
26/01/1995,418.0000,158.0000,610.0000,70.0000,27.0000
27/01/1995,419.0000,159.0000,610.0000,70.0000,27.0000
30/01/1995,416.0000,159.0000,610.0000,70.0000,27.0000
31/01/1995,416.0000,159.0000,610.0000,70.0000,27.0000
01/02/1995,417.0000,158.0000,610.0000,70.0000,27.0000
02/02/1995,415.0000,159.0000,600.0000,70.0000,27.0000
03/02/1995,416.0000,159.0000,600.0000,70.0000,27.0000
06/02/1995,414.0000,159.0000,600.0000,70.0000,27.0000
07/02/1995,413.0000,158.0000,600.0000,70.0000,27.0000
08/02/1995,409.0000,158.0000,600.0000,70.0000,27.0000
09/02/1995,413.0000,159.0000,590.0000,70.0000,27.0000
10/02/1995,416.0000,159.0000,580.0000,70.0000,27.0000
13/02/1995,414.0000,158.0000,580.0000,70.0000,27.0000
14/02/1995,414.0000,158.0000,580.0000,70.0000,27.0000
15/02/1995,414.0000,158.0000,575.0000,70.0000,27.0000
16/02/1995,414.0000,158.0000,575.0000,70.0000,27.0000
17/02/1995,416.0000,159.0000,565.0000,70.0000,27.0000
20/02/1995,417.0000,159.0000,565.0000,70.0000,27.0000
21/02/1995,417.0000,159.0000,565.0000,70.0000,27.0000
22/02/1995,417.0000,159.0000,555.0000,70.0000,27.0000
23/02/1995,418.0000,158.0000,545.0000,70.0000,27.0000
24/02/1995,418.0000,159.0000,545.0000,70.0000,27.0000
27/02/1995,414.0000,158.0000,535.0000,70.0000,27.0000
28/02/1995,410.0000,155.0000,535.0000,70.0000,27.0000
01/03/1995,411.0000,155.0000,510.0000,70.0000,27.0000
02/03/1995,404.0000,153.0000,500.0000,70.0000,27.0000
03/03/1995,405.0000,154.0000,500.0000,70.0000,27.0000
06/03/1995,406.0000,154.0000,500.0000,70.0000,27.0000
07/03/1995,410.0000,155.0000,500.0000,70.0000,27.0000
08/03/1995,420.0000,158.0000,500.0000,70.0000,27.0000
09/03/1995,418.0000,157.0000,500.0000,70.0000,27.0000
10/03/1995,420.0000,157.0000,500.0000,70.0000,27.0000
13/03/1995,419.0000,159.0000,500.0000,70.0000,27.0000
14/03/1995,423.0000,160.0000,500.0000,70.0000,27.0000
15/03/1995,424.0000,161.0000,500.0000,70.0000,27.0000
16/03/1995,422.0000,162.0000,500.0000,70.0000,27.0000
17/03/1995,421.0000,164.0000,500.0000,70.0000,27.0000
20/03/1995,420.0000,166.0000,500.0000,70.0000,27.0000
21/03/1995,420.0000,168.0000,500.0000,70.0000,27.0000
22/03/1995,414.0000,166.0000,500.0000,70.0000,27.0000
23/03/1995,415.0000,169.0000,500.0000,70.0000,27.0000
24/03/1995,417.0000,175.0000,485.0000,70.0000,27.0000
27/03/1995,415.0000,171.0000,485.0000,70.0000,27.0000
28/03/1995,418.0000,171.0000,485.0000,70.0000,27.0000
29/03/1995,421.0000,176.0000,485.0000,70.0000,27.0000
30/03/1995,419.0000,175.0000,485.0000,70.0000,27.0000
31/03/1995,434.0000,175.0000,485.0000,70.0000,27.0000
03/04/1995,442.0000,177.0000,485.0000,70.0000,27.0000
04/04/1995,451.0000,177.0000,485.0000,70.0000,27.0000
05/04/1995,461.0000,177.0000,485.0000,70.0000,27.0000
06/04/1995,450.0000,173.0000,485.0000,70.0000,27.0000
07/04/1995,454.0000,176.0000,485.0000,70.0000,27.0000
10/04/1995,455.0000,175.0000,470.0000,70.0000,27.0000
11/04/1995,450.0000,173.0000,470.0000,70.0000,27.0000
